Company,Spec,Location,Content,Link
kt ds University,신입,서울 서초구,자바&파이썬 웹애플리케이션 전문가 양성과정 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/34958442?Oem_Code=C1&logpath=1
휴먼교육센터학원,신입·경력,경기 부천시 외,[전액무료] IT취업 자바/파이썬/인공지능/빅데이터 교육생 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/35218738?Oem_Code=C1&logpath=1
㈜비타소프트,신입·경력,서울 구로구 외,"인공지능 (딥러닝) 개발자, Python 능력자(신입과 경력 : 병역특례(보충역) 가능).",https://www.jobkorea.co.kr/Recruit/GI_Read/35261169?Oem_Code=C1&logpath=1
㈜인라이플,경력,경기 전지역 외,[업계1위/주4.5일근무] Python 개발 직무 경력직 인재채용,https://www.jobkorea.co.kr/Recruit/GI_Read/35258087?Oem_Code=C1&logpath=1
㈜이지서티,신입·경력,서울 강남구 외,"[신입/경력] R,PYTHON개발자 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/35238882?Oem_Code=C1&logpath=1
링크제니시스,신입,인천 서구 외,"자동차 SW Test 자동화 개발자 (C, C++, Python)",https://www.jobkorea.co.kr/Recruit/GI_Read/35224571?Oem_Code=C1&logpath=1
㈜KB데이타시스템,경력3년↑,서울 마포구 외,백엔드 파이썬 개발자 경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/35224093?Oem_Code=C1&logpath=1
쌍용정보통신,경력1년↑,서울 중구,"Java, Python, ASP, PHP 초급개발자 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/35157147?Oem_Code=C1&logpath=1
한국직업전문학교,신입·경력,경기 전지역 외,[국비무료] 파이썬/자바/ 빅데이터/ 웹/ IOT/기초-실무(취업기술) / 훈련수당 / 취업지원 (6개월),https://www.jobkorea.co.kr/Recruit/GI_Read/35050022?Oem_Code=C1&logpath=1
㈜핸디소프트,경력3년↑,경기 안양시,[개발자채용]정부과제 개발(빅데이터플랫폼/Python) 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/34702587?Oem_Code=C1&logpath=1
㈜마이뮤직테이스트,신입·경력1년↑,서울 강남구,신입/경력 Backend Engineer   Python 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/35156432?Oem_Code=C1&logpath=1
포인트정보기술,경력6년↑,경기 성남시,[분당] 두산인프라코어 빅데이타 플랫폼 운영 (Python),https://www.jobkorea.co.kr/Recruit/GI_Read/35316287?Oem_Code=C1&logpath=1
유니윌부산지사,신입,부산 부산진구 외,(네트워크/파이썬)네트워크 보안 취약점 분석 전문가 양성,https://www.jobkorea.co.kr/Recruit/GI_Read/35315151?Oem_Code=C1&logpath=1
유니윌부산지사,경력무관,부산 부산진구 외,"자바빅데이터 실무 개발자, 네트워크파이썬 전문가",https://www.jobkorea.co.kr/Recruit/GI_Read/35315145?Oem_Code=C1&logpath=1
㈜ 칸테크,신입,서울 금천구,"[SD개발팀] 솔루션 개발자 신입사원 모집(ORACLE, SQL, JSP, PYTHON)",https://www.jobkorea.co.kr/Recruit/GI_Read/35311085?Oem_Code=C1&logpath=1
㈜무지개반사,신입·경력2년↑,서울 강남구,[Python] 활용 딥러닝 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/35301609?Oem_Code=C1&logpath=1
주식회사 올룰로,경력5년↑,서울 강남구 외,[올룰로 / 킥고잉] 데이터개발팀 리더 채용(개발자 / 데이터 / SQL / Python / PHP / Javascript),https://www.jobkorea.co.kr/Recruit/GI_Read/35298081?Oem_Code=C1&logpath=1
